title,year,rated,released,runtime,genres,director,actors,plot,languages,country,awards,imdbRating,rottenTomatoesRating,metaCriticRating,metascore,rating,type,boxoffice,production
The Hills Have Eyes,2006,R,Fri Mar 10 2006 00:00:00 GMT-0500 (EST),107 min,Horror,Alexandre Aja,Maxime Giffard; Michael Bailey Smith; Tom Bower; Ted Levine,While celebrating their 50th wedding anniversary a couple are caravanning through the desert with their 3 children son in law and their baby granddaughter While the rest of the family agrees there are plenty of better and more appropriate things to do to celebrate an anniversary they make do with what they have but things take a turn after a sketchy gas station attendant informs them about a short cut that will take them in between a series of hills in the desert It doesnt take too long before they realise theyre not alone and the hills indeed do have eyes,English,USA,2 wins & 7 nominations,6.4/10,50%,52/100,52,6.4,movie,"$41,685,824",Fox Searchlight Pictures
Talladega Nights: The Ballad of Ricky Bobby,2006,PG-13,Fri Aug 04 2006 00:00:00 GMT-0400 (EDT),108 min,Action; Comedy; Sport,Adam McKay,Will Ferrell; John C. Reilly; Sacha Baron Cohen; Gary Cole,NASCAR stock car racing sensation Ricky Bobby is a national hero because of his win at all costs approach He and his loyal racing partner childhood friend Cal Naughton Jr are a fearless duo -- Shake and Bake by their fans for their ability to finish so many races in the #1 and #2 positions with Cal always in second place When flamboyant French Formula One driver Jean Girard challenges Shake and Bake for the supremacy of NASCAR Ricky Bobby must face his own demons and fight Girard for the right to be known as racings top driver,English; French,USA,8 wins & 9 nominations,6.6/10,71%,66/100,66,6.6,movie,"$148,213,377",Sony Pictures Releasing
The Descent,2005,R,Fri Aug 04 2006 00:00:00 GMT-0400 (EDT),99 min,Adventure; Horror; Thriller,Neil Marshall,Shauna Macdonald; Natalie Mendoza; Alex Reid; Saskia Mulder,A woman goes on vacation with her friends after her husband and daughter encounter a tragic accident One year later she goes hiking with her friends and they get trapped in the cave With a lack of supply they struggle to survive and they meet strange blood thirsty creatures,English,UK,8 wins & 18 nominations,7.2/10,85%,71/100,71,7.2,movie,"$26,005,908",Lionsgate
Snakes on a Plane,2006,R,Fri Aug 18 2006 00:00:00 GMT-0400 (EDT),105 min,Action; Adventure; Crime,David R. Ellis,Samuel L. Jackson; Julianna Margulies; Nathan Phillips; Rachel Blanchard,While practicing motocross in Hawaii Sean Jones witnesses the brutal murder of an important American prosecutor by the powerful mobster Eddie Kim He is protected and persuaded by the FBI agent Neville Flynn to testify against Eddie in Los Angeles They embark in the red-eye Flight 121 of Pacific Air occupying the entire first-class However Eddie dispatches hundred of different species of snakes airborne with a time operated device in the luggage to release the snakes in the flight with the intent of crashing the plane Neville and the passengers have to struggle with the snakes to survive,English,Germany; USA; Canada,3 wins & 7 nominations,5.5/10,69%,58/100,58,5.5,movie,"$33,886,034",New Line Cinema
Stay Alive,2006,PG-13,Fri Mar 24 2006 00:00:00 GMT-0500 (EST),85 min,Fantasy; Horror; Sci-Fi,William Brent Bell,Jon Foster; Samaire Armstrong; Frankie Muniz; Jimmi Simpson,Loomis Crowley is testing the underground game Stay Alive with his friends Sarah and Rex When the game is over Loomis finds Rex and Sarah dead in their room and he is pushed by a shadow from the staircase breaking the banister and hanging the same way he died in the game Loomis sister Emma gives his game to his best friend Hutch They and his friends Miller Phineus with his sister October Swink and Abigail play the game together When Miller and Phineus die the same way they died in the game the survivors disclose that the game is based on the life of the evil Countess Elizabeth Bathory She was buried alive in the tower of her real state in the Geronge Plantation With the police chasing them and after the death of October the survivors reach the house and try to find the corpse of the Countess to destroy her fiend,English,USA,N/A,5.1/10,9%,24/100,24,5.1,movie,"$22,999,535",Buena Vista
The Fountain,2006,PG-13,Wed Nov 22 2006 00:00:00 GMT-0500 (EST),96 min,Drama; Sci-Fi,Darren Aronofsky,Hugh Jackman; Rachel Weisz; Ellen Burstyn; Mark Margolis,Three stories - one each from the past present and future - about men in pursuit of eternity with their love A conquistador in Mayan country searches for the tree of life to free his captive queen a medical researcher working with various trees looks for a cure that will save his dying wife a space traveler traveling with an aged tree encapsulated within a bubble moves toward a dying star thats wrapped in a nebula he seeks eternity with his love The stories intersect and parallel the quests fail and succeed,English; Maya,USA; Canada,Nominated for 1 Golden Globe Another 9 wins & 34 nominations,7.3/10,52%,51/100,51,7.3,movie,"$10,046,093",Warner Bros. Pictures
Thank You for Smoking,2005,R,Fri Apr 14 2006 00:00:00 GMT-0400 (EDT),92 min,Comedy; Drama,Jason Reitman,Joan Lunden; Eric Haberman; Aaron Eckhart; Mary Jo Smith,The chief spokesperson and lobbyist Nick Naylor is the Vice-President of the Academy of Tobacco Studies He is talented in speaking and spins argument to defend the cigarette industry in the most difficult situations His best friends are Polly Bailey that works in the Moderation Council in alcohol business and Bobby Jay Bliss of the gun business own advisory group SAFETY They frequently meet each other in a bar and they self-entitle the Mod Squad aka Merchants of Death disputing which industry has killed more people Nicks greatest enemy is Vermonts Senator Ortolan Finistirre who defends in the Senate the use a skull and crossed bones in the cigarette packs Nicks son Joey Naylor lives with his mother and has the chance to know his father in a business trip When the ambitious reporter Heather Holloway betrays Nick disclosing confidences he had in bed with her his life turns upside-down But Nick is good in what he does for the mortgage,English,USA,Nominated for 2 Golden Globes Another 12 wins & 30 nominations,7.6/10,86%,71/100,71,7.6,movie,"$24,800,000",Fox Searchlight
The Holiday,2006,PG-13,Fri Dec 08 2006 00:00:00 GMT-0500 (EST),138 min,Comedy; Romance,Nancy Meyers,Cameron Diaz; Kate Winslet; Jude Law; Jack Black,In London Iris Simpkins writes a wedding column in a newspaper and nurtures an unrequited love for her colleague Jasper Bloom Near Christmas she is informed that Jasper is engaged to marry another colleague and her life turns upside down In Los Angeles the movie-trailers maker Amanda Woods has just split with her unfaithful boyfriend Ethan and wants to forget him Through a house exchange website Amanda impulsively swaps her mansion for Iris cottage in Surrey for the holidays While in Surrey Amanda meets Iris brother and book editor Graham and they fall in love with each other Meanwhile Iris meets her new next door neighbor the ninety year old screenplay writer Arthur who helps her retrieve her self-esteem and the film composer Miles with whom she falls in love,English,USA,2 wins & 7 nominations,6.9/10,47%,52/100,52,6.9,movie,"$63,224,849",Sony Pictures
The Illusionist,2006,PG-13,Fri Sep 01 2006 00:00:00 GMT-0400 (EDT),110 min,Drama; Fantasy; Mystery,Neil Burger,Edward Norton; Paul Giamatti; Jessica Biel; Rufus Sewell,In late nineteenth century Vienna renowned illusionist Eisenheim is reunited with the Duchess von Teschen when she is volunteered from the audience to participate in an illusion during one of his performances Despite having not seen each other in fifteen years when they were teenagers they almost immediately recognize each other as Eduard Abramovich and Sophie von Teschen they who had a doomed romance at that time due to their class differences The Duchess is soon to be wed to the Crown Prince Leopold in what would be for him a marriage solely in pursuit of power: overthrowing his father the Emperor Leopold as well as overtaking the Hungarian side of the empire The Crown Prince is known to use violence against women if it suits his needs or purposes As such the Duchess who realizes that she still loves Eisenheim and he her can never leave the Crown Prince without it jeopardizing her life After Eisenheim humiliates the Crown Prince at a private show which results in an incident between the Crown Prince and the Duchess the battle between Eisenheim and the Crown Prince moves into the public performance realm which many believe demonstrates Eisenheims supernatural powers Much of the work for the Crown Prince in the battle with Eisenheim is conducted by Chief Inspector Uhl who would become the Chief of Police under the Crown Princes reign As such Uhl may have ulterior motives in turning a blind eye to any unlawful act of the Crown Prince against Eisenheim or the Duchess,English,USA; Czech Republic,Nominated for 1 Oscar Another 10 wins & 10 nominations,7.6/10,74%,68/100,68,7.6,movie,"$39,680,302",Yari Film Group
The Lake House,2006,PG,Fri Jun 16 2006 00:00:00 GMT-0400 (EDT),99 min,Drama; Fantasy; Romance,Alejandro Agresti,Keanu Reeves; Sandra Bullock; Christopher Plummer; Ebon Moss-Bachrach,When two people connect the bond between them can be so pure and simple as to stir hearts in heaven When they connect in all the right places at all the wrong times heaven weeps for broken hearts To heal these broken hearts heaven breaks time,English,USA,2 wins & 2 nominations,6.8/10,35%,52/100,52,6.8,movie,"$52,300,000",Warner Bros. Pictures
The Last Kiss,2006,R,Fri Sep 15 2006 00:00:00 GMT-0400 (EDT),104 min,Comedy; Drama; Romance,Tony Goldwyn,Zach Braff; Jacinda Barrett; Casey Affleck; Rachel Bilson,Michael and Jenna having been a couple for three years want to get married and start a family These plans seem to be well on their way when Jenna announces that shes pregnant But Michael is worried that his life and his youth will be over for good At a wedding of a friend he meets a free-spirited college co-ed Kim who opens his eyes and leads him on a dangerous path away from Jenna Meanwhile none of the relationships of the people surrounding Michael and Jenna are happy and stable Michaels friend Izzy is unwilling to let go of his childhood sweetheart Arianna Kenny is a handsome stud who fears commitment to his latest conquest Danielle and Chris is a co-worker who is dominated by his neurotic and overbearing wife over raising their newborn son Even Jennas parents Stephen and Anna are experiencing problems in their long-suffering marriage,English,USA,1 win & 4 nominations,6.5/10,46%,57/100,57,6.5,movie,"$11,502,628",Paramount
The Night Listener,2006,R,Fri Aug 04 2006 00:00:00 GMT-0400 (EDT),91 min,Crime; Mystery; Thriller,Patrick Stettner,Robin Williams; Toni Collette; Joe Morton; Bobby Cannavale,Gabriel Noone is a late night radio-host in a big city specializing in spooky tales culled from his active imagination When Gabriels lover decides he needs some space and moves out Gabriel descends into a funk until a publisher friend brings him a manuscript written by 14 year-old Pete Logand a troubled young fan Petes story touches the vulnerable Gabriel deeply Pete was severely abused by his parents and is now under the care of his former social worker Donna Logand who has adopted him Pete is very ill and he and Donna are keeping a low profile in a small town in Wisconsin to avoid discovery by Petes mother Gabriel develops an unsettling long-distance telephone relationship with the boy and his guardian Nothing is as it seems and the skepticism of friends causes Gabriel to become suspicious of Donna and her motives so he tries to resolve the loose ends by traveling to Wisconsin to confront Donna and Pete But this effort is largely unsuccessful and we are left wondering if Pete is real if Donna is really blind or if Gabriel is the deranged soul of the story,English,USA,2 nominations,5.9/10,40%,51/100,51,5.9,movie,"$7,766,987",Miramax
